id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
U-001215,2020-06-24,España,,Santiago de Compostela,Soy español o tengo nacionalidad española/ europea,Veterinario,No dispongo de autonomía económica en estos momentos,,No,,,hasta 450,Segunda residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001217,2020-06-24,España,,Guadalajara,Soy español o tengo nacionalidad española/ europea,Técnico,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001218,2020-06-24,España,,Alcalá de Henares,Soy español o tengo nacionalidad española/ europea,Abogado,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001219,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Profesor de Universidad,Hasta 12 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Huesca y Zaragoza,Cuanto antes (hasta 3 meses)
U-001220,2020-06-24,España,,Valencia,Soy español o tengo nacionalidad española/ europea,Técnico,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,En los próximos 6 meses
U-001221,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001222,2020-06-24,España,Barcelona,Corrnella/Barcelona,Soy español o tengo nacionalidad española/ europea,Conductor,Más de 12 meses,37 y 51,Sí,Si,No,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001224,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Jardinero,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001225,2020-06-24,España,,Toledo,Soy español o tengo nacionalidad española/ europea,Hostelero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001226,2020-06-24,España,,Asturias,Soy español o tengo nacionalidad española/ europea,Mecánico,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001228,2020-06-24,Latino América,,Madrid,Situación de protección internacional o asilo,Profesor,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001229,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Pintor,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001230,2020-06-24,España,,Manresa,Situación de protección internacional o asilo,Ingeniero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,En los próximos 6 meses
U-001231,2020-06-24,España,,San Sebastián de los Reyes,Soy español o tengo nacionalidad española/ europea,Farmacéutico,Hasta 6 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001232,2020-06-24,España,,La Coruña,Tengo permiso de residencia en España,Administrativo,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001233,2020-06-24,España,,Burgos,No estoy en ninguna de estas situaciones,,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001234,2020-06-24,España,,Estepona,Soy español o tengo nacionalidad española/ europea,Hostelero,Más de 12 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001235,2020-06-24,España,,leganes,Soy español o tengo nacionalidad española/ europea,Cocinero,No dispongo de autonomía económica en estos momentos,,No,,,,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001236,2020-06-24,España,,Gijón,Soy español o tengo nacionalidad española/ europea,Dentista,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001237,2020-06-24,España,,TENERIFE,No estoy en ninguna de estas situaciones,Estudiante,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001238,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Comercial,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,Más de 600,Primera residencia,Sierra Norte de Madrid,Más de 6 meses
U-001239,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Conductor,Hasta 6 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001240,2020-06-24,España,,San Fernando,Soy español o tengo nacionalidad española/ europea,Cocinero,Más de 12 meses,,No,,,hasta 450,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001241,2020-06-24,España,,Jaen,Situación de protección internacional o asilo,Enfermero,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001242,2020-06-24,España,,Ripollet,Soy español o tengo nacionalidad española/ europea,Pintor,Más de 12 meses,,Sí,,,Más de 600,Primera residencia,Pueblos de Huesca y Zaragoza,Cuanto antes (hasta 3 meses)
U-001243,2020-06-24,España,,Móstoles,Soy español o tengo nacionalidad española/ europea,,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001244,2020-06-24,España,,benicasim,Soy español o tengo nacionalidad española/ europea,Jubilado,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,No,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,Cuanto antes (hasta 3 meses)
U-001245,2020-06-24,España,Sevilla,Sevilla,Soy español o tengo nacionalidad española/ europea,Ingeniero,Hasta 3 meses,44 y 16,No,Si,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001246,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Enfermero,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001247,2020-06-24,España,,Toledo,Soy español o tengo nacionalidad española/ europea,Limpieza,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001248,2020-06-24,España,,Pinto,Soy español o tengo nacionalidad española/ europea,Limpieza,Hasta 12 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001249,2020-06-24,España,,Madrid,Autorización de permanencia en España por estudios,Personal de Educación Infantil,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001250,2020-06-24,España,,Bilbao,Soy español o tengo nacionalidad española/ europea,Maestro,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001252,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Cocinero,Más de 12 meses,,Sí,,,Más de 600,Primera residencia,Sierra Norte de Madrid,Más de 6 meses
U-001253,2020-06-24,Latino América,,Cartagena de indias,Soy español o tengo nacionalidad española/ europea,Abogado,Hasta 6 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001254,2020-06-24,Resto de Europa (dentro de UE),,Berlín,Soy español o tengo nacionalidad española/ europea,Hostelero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,En los próximos 6 meses
U-001255,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Logística de transportes,Hasta 12 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001256,2020-06-24,España,,Barcelona,Soy español o tengo nacionalidad española/ europea,Fisioterapeuta,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,Más de 6 meses
U-001257,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Profesor de Universidad,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,Más de 600,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001258,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Ingeniero,Más de 12 meses,,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001259,2020-06-24,España,,Sevilla,Soy español o tengo nacionalidad española/ europea,Hostelero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001260,2020-06-24,España,Madrid,Madrid,Soy español o tengo nacionalidad española/ europea,Profesor,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",35 y 38,Sí,Si,Si,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001261,2020-06-24,España,,Villajoyosa,Soy español o tengo nacionalidad española/ europea,Profesor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001262,2020-06-24,España,,Massamagrell,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 3 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Huesca y Zaragoza,En los próximos 6 meses
U-001263,2020-06-24,Latino América,,Panamá,Soy español o tengo nacionalidad española/ europea,Publicista,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Huesca y Zaragoza,En los próximos 6 meses
U-001264,2020-06-24,Otro,,Vancouver,Soy español o tengo nacionalidad española/ europea,Publicista,Más de 12 meses,,Sí,,,hasta 600,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001266,2020-06-24,España,,Asturias,Soy español o tengo nacionalidad española/ europea,Mecánico,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001267,2020-06-24,España,,Asturias,Soy español o tengo nacionalidad española/ europea,Cuidar ancianos,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001268,2020-06-24,Latino América,,Gurupi,Soy español o tengo nacionalidad española/ europea,Desempleado,Hasta 6 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Más de 6 meses
U-001269,2020-06-24,España,,Asturias,Soy español o tengo nacionalidad española/ europea,Cuidar ancianos,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001270,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Hostelero,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001271,2020-06-24,España,,Barcelona,Tengo permiso de residencia en España,Médico,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001274,2020-06-24,España,,Horcajuelo de la Sierra,Soy español o tengo nacionalidad española/ europea,Hostelero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001275,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Dependiente,Hasta 6 meses,,No,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001276,2020-06-24,España,Vizcaya,Torrelaguna,Soy español o tengo nacionalidad española/ europea,Otro,Más de 12 meses,"47, 47 y 15",Sí,Si,Si,hasta 450,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001277,2020-06-24,España,,Barcelonés,Soy español o tengo nacionalidad española/ europea,Logística de transportes,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Más de 6 meses
U-001278,2020-06-24,España,,Cáceres,Soy español o tengo nacionalidad española/ europea,Jardinero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001279,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001280,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001281,2020-06-24,España,Madrid,Leganés,Soy español o tengo nacionalidad española/ europea,Técnico de empresas y actividades turísticas,6 meses,"28,23,6.",Sí,Si,Si,hasta 300,Primera residencia,Sierra Norte de Madrid,6 meses
U-001282,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Profesor,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,No,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001283,2020-06-24,España,Madrid,Madrid,Soy español o tengo nacionalidad española/ europea,Abogado,Hasta 6 meses,,Sí,Si,,Hasta 300€,Primera residencia,Sierra norte de Madrid,Cuanto antes (hasta 3 meses)
U-001284,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001285,2020-06-24,España,Madrid,Madrid / Cáceres,Soy español o tengo nacionalidad española/ europea,Desempleado,Hasta 3 meses,38,Sí,Si,Si,hasta 450,Primera residencia,Pueblos de Burgos,En los próximos 6 meses
U-001286,2020-06-24,España,,Valencia,Soy español o tengo nacionalidad española/ europea,Médico,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001287,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Peluquería,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001288,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Psicólogo,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001289,2020-06-24,España,,Barcelona,Soy español o tengo nacionalidad española/ europea,Informático,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001290,2020-06-24,España,,Pedrezuela,Soy español o tengo nacionalidad española/ europea,Psicólogo,Más de 12 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001291,2020-06-24,España,,"El Sauzal, Tenerife",Soy español o tengo nacionalidad española/ europea,Profesor,Hasta 3 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001292,2020-06-24,España,,Mallorca,Soy español o tengo nacionalidad española/ europea,Mozo almacén,Hasta 6 meses,,Sí,,,hasta 300,Segunda residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001293,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Ferroviario,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001294,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Veterinario,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001295,2020-06-24,España,,Palma de Mallorca,Soy español o tengo nacionalidad española/ europea,,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001297,2020-06-24,España,Sevilla,Sevilla,Soy español o tengo nacionalidad española/ europea,Administrativo,Hasta 3 meses,54,No,Si,No,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001298,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Administrativo,,,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001299,2020-06-24,España,,Las Palmas,Soy español o tengo nacionalidad española/ europea,Cocinero,Hasta 12 meses,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001300,2020-06-24,España,,Madrid,Tengo permiso de residencia en España,Médico,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001301,2020-06-24,España,,Bellvei,Soy español o tengo nacionalidad española/ europea,Pintor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001302,2020-06-24,España,,Madrid,Situación de protección internacional o asilo,Cuidar ancianos,Hasta 3 meses,,No,,,hasta 300,Segunda residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001303,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Profesor,Hasta 6 meses,,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001304,2020-06-24,España,,"Torrevieja, Alicante",Tengo permiso de residencia en España,Cocinero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001305,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Biólogo ambiental,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001306,2020-06-24,España,,Sevilla,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 6 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Burgos,En los próximos 6 meses
U-001307,2020-06-24,España,,Burgos,Tengo permiso de residencia en España,Dependiente,Hasta 6 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001308,2020-06-24,España,,A Coruña,Soy español o tengo nacionalidad española/ europea,Autónomo,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001309,2020-06-24,España,,Santa cruz de Tenerife,Soy español o tengo nacionalidad española/ europea,Conductor,Hasta 12 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001310,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Electricista,Hasta 3 meses,"40, 46, 5",Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001311,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Administrativo,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001313,2020-06-24,España,,Madrid,No estoy en ninguna de estas situaciones,Ingeniero,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001314,2020-06-24,España,,San Agustin De Guadalix( Madrid),Tengo permiso de residencia en España,Limpieza,Hasta 6 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001315,2020-06-24,España,,Valencia,Soy español o tengo nacionalidad española/ europea,,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001316,2020-06-24,Resto de Europa (dentro de UE),,Imola,Soy español o tengo nacionalidad española/ europea,Logística de transportes,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001317,2020-06-24,España,,Madrid,Tengo permiso de residencia en España,Limpieza,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001318,2020-06-24,España,,Madrid,Tengo permiso de residencia en España,Cocinero,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001319,2020-06-24,España,,San Vicente del Raspeig,Soy español o tengo nacionalidad española/ europea,Contable,Hasta 6 meses,,Sí,,,hasta 450,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001320,2020-06-24,España,,Xativa,Soy español o tengo nacionalidad española/ europea,Administrativo,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001322,2020-06-24,España,,Alicante,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 6 meses,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001323,2020-06-24,Latino América,,Buenos Aires,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 3 meses,,No,,,hasta 450,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001324,2020-06-24,España,Albacete,Albacete,Soy español o tengo nacionalidad española/ europea,Jardinero,Hasta 6 meses,"44,43,13,8",Sí,Si,Si,hasta 300,Primera residencia,Pueblos de Burgos,6 meses
U-001325,2020-06-24,España,,Ávila,Soy español o tengo nacionalidad española/ europea,Pensionista,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,Cuanto antes (hasta 3 meses)
U-001326,2020-06-24,España,,Valencia,Situación de protección internacional o asilo,Ingeniero Industrial,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Segunda residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001327,2020-06-24,España,,Manlleu,Soy español o tengo nacionalidad española/ europea,Mantenimiento,Hasta 12 meses,,Sí,,,hasta 300,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001328,2020-06-24,España,,Las Palmas de Gran Canaria,Soy español o tengo nacionalidad española/ europea,Estudiante,"Dispongo de capacidad económica regular (jubilado, trabajo a distancia, trabajo fijo...)",,No,,,hasta 300,Primera residencia,Pueblos de Soria,Más de 6 meses
U-001329,2020-06-24,España,Madrid,Madrid,Tengo permiso de residencia en España,Jardinero,Hasta 6 meses,43 y 50,No,,Si,hasta 450,Primera residencia,Sierra Norte de Madrid,6 meses
U-001330,2020-06-24,España,Jaén,Andujar,Soy español o tengo nacionalidad española/ europea,Técnico,Hasta 3 meses,36 y 30,Sí,Si,Si,hasta 300,Primera residencia,Pueblos de Jaén,Cuanto antes (hasta 3 meses)
U-001331,2020-06-24,España,,Ocaña,Situación de protección internacional o asilo,Contable,No dispongo de autonomía económica en estos momentos,5 años,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Más de 6 meses
U-001332,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Desempleado,Hasta 6 meses,,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001333,2020-06-24,España,,Jaén,Soy español o tengo nacionalidad española/ europea,Cocinero,Hasta 6 meses,,No,,,hasta 450,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001334,2020-06-24,España,,El vendrell,Tengo permiso de residencia en España,Administrativo,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Soria,En los próximos 6 meses
U-001335,2020-06-24,España,,SAN SEBASTIAN DE LOS REYES,Soy español o tengo nacionalidad española/ europea,Profesor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 450,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001336,2020-06-24,España,Madrid,Madrid,Soy español o tengo nacionalidad española/ europea,Freelance digital,6 meses,,Sí,Si,No,hasta 300,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001337,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Hostelero,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001338,2020-06-24,España,,Sant Joan Despi - Barcelona,Soy español o tengo nacionalidad española/ europea,Arquitecto,Hasta 3 meses,,Sí,,,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001340,2020-06-24,España,,Tomelloso,Soy español o tengo nacionalidad española/ europea,Mozo almacén,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001341,2020-06-24,España,,Villar del Olmo,Soy español o tengo nacionalidad española/ europea,Conductor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001342,2020-06-24,España,,Badajoz,Soy español o tengo nacionalidad española/ europea,Profesor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001343,2020-06-24,España,,Badajoz,Soy español o tengo nacionalidad española/ europea,Profesor,Hasta 3 meses,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001344,2020-06-24,España,,Barcelona,Soy español o tengo nacionalidad española/ europea,Dependiente,No dispongo de autonomía económica en estos momentos,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,En los próximos 6 meses
U-001345,2020-06-24,Latino América,,La Habana,Soy español o tengo nacionalidad española/ europea,Contable,Hasta 3 meses,,No,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001346,2020-06-24,España,,Jaen,Soy español o tengo nacionalidad española/ europea,Cocinero,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Pueblos de Burgos,Cuanto antes (hasta 3 meses)
U-001348,2020-06-24,España,Madrid,Alcalá de Henares,Soy español o tengo nacionalidad española/ europea,Profesor,Hasta 3 meses,38,No,,,hasta 300,Primera residencia,Sierra Norte de Madrid,Cuanto antes (hasta 3 meses)
U-001349,2020-06-24,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Conductor,No dispongo de autonomía económica en estos momentos,,Sí,,,hasta 300,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-001350,2020-06-24,España,Barcelona,Mataró,Soy español o tengo nacionalidad española/ europea,Administrativo,1 año,32 42,Sí,Si,No,Hasta 450€,Primera residencia,Indiferente,1 mes
